3,"1Cor12_1-27_LoSpiritoE_DimensioneComunitaria.docx","Lo Spirito e la dimensione comunitaria",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","1 Cor","12,1-27","Lo Spirito Santo nella nostra vita"
4,"1Cor13_PrimatoDellaCarita.docx","Primato della Carità",2002,"Tutti","altre_lectio","http://NA","1 Cor",13,"N/A"
5,"1Cor6_12-20_DominioDiSeUgualeCastita.docx","Dominio di sé = Castità",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","1 Cor","6,12-20","Frutti dello Spirito Santo"
6,"1Gv4_7-11_Amore.docx","Amore",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","1 Gv","4,7-11","Frutti dello Spirito Santo"
7,"1Pt2_19-25_Pazienza.docx","Pazienza",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","1 Pt","2,19-25","Frutti dello Spirito Santo"
8,"2Ts2_15-16__3_1-5_Fedelta.docx","Fedeltà",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","2 Ts","2,15-16","Frutti dello Spirito Santo"
9,"2Ts2_15-16__3_1-5_Fedelta.docx","Fedeltà",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","2 Ts","3,1-5","Frutti dello Spirito Santo"
10,"Ap21_1-8_DefinitivaDimoraDioConUomini.docx","La definitiva dimora di Dio con gli uomini","N/A","Tutti","Dimorare","http://NA","Ap","21,1-8","Dimorare"
11,"At2_1-13_LoSpiritoSantoAmoreCheRinnovaVivificaDinamizzaCredenti.docx","Lo Spirito Santo: l'Amore che rinnova, vivifica e dinamizza i credenti",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\LO_SPIRITO_SANTO","http://NA","At","2,1-13","Lo Spirito Santo"
12,"Beatitudini _Conclusione.docx","Conclusione",2001,"Suore","ESERCIZI ESPIRITUALI SUORE\\beatitudini_2001","http://NA","N/A","N/A","Beatitudini"
13,"Beatitudini_Introduzione.docx","Introduzione",2001,"Suore","ESERCIZI ESPIRITUALI SUORE\\beatitudini_2001","http://NA","N/A","N/A","Beatitudini"
